y_true	y_proba
1	0.7064022
1	0.002902102
1	0.9701132
1	0.020886485
0	0.03748573
0	0.0004218559
1	0.02023101
0	0.9279486
1	0.035396952
1	0.9953107
0	0.9383321
0	0.0006353481
1	0.0021888327
0	0.43997106
0	0.86229265
1	0.47557622
0	0.006574534
0	0.012932148
0	0.00045351544
0	0.8873645
1	0.040558398
1	0.9986707
1	0.065796174
1	0.92898506
0	0.4640109
1	0.9799866
1	0.62926877
1	0.53311425
0	0.9452576
0	0.65574217
0	0.82661474
0	0.19413722
0	0.8419466
1	0.967917
1	0.5276238
1	0.9404921
0	0.9155788
0	0.99672276
1	0.09337469
1	0.28086272
1	0.70472527
1	0.0023575344
1	0.37847435
0	0.48139796
1	0.98323095
1	0.14676702
1	0.007974109
0	0.8585465
1	0.29919693
0	0.82779664
1	0.04551573
0	0.06785672
1	0.0003497277
1	0.1671263
1	0.043448463
1	0.8522077
0	0.4619013
1	0.30641618
0	0.011907687
1	0.99215406
0	0.34331942
0	0.0047250963
0	0.42191705
1	0.7683053
1	0.5628949
1	0.007020566
1	0.9771482
1	0.19591908
0	0.4165204
1	0.2938722
1	0.0017270081
1	0.016397702
1	0.00064648915
0	0.31483608
1	0.051116403
1	0.22923274
1	0.4600653
0	0.00029180013
1	0.7669622
1	0.5990548
0	0.0016006862
0	0.0033878575
0	0.06392713
1	0.035826508
1	0.08058376
0	0.9599363
0	0.86950505
1	0.0013240479
