y_true	y_proba
0	0.9939912
1	0.91472
0	0.91856116
1	0.0020714507
0	0.26273587
1	0.28242293
0	0.9847169
1	0.0007761987
0	0.016270911
1	0.005415813
1	0.0010541275
0	0.00028793857
1	0.03717747
0	0.0070049763
0	0.09415529
1	0.0015427581
1	0.99504244
1	0.0039034125
0	0.001452806
1	0.19061609
0	0.00031099602
0	0.00048021757
1	0.048500866
0	0.013750265
1	0.00063266605
0	0.01634265
1	0.00089283887
0	0.06102094
1	0.011472338
0	0.0020517304
1	0.8599768
0	0.9268105
1	0.7725141
1	0.0003679407
0	0.108685106
1	0.97778565
0	0.2046636
0	0.9955388
1	0.27671573
0	0.981062
1	0.99749833
0	0.09689909
0	0.99913317
1	0.8431429
0	0.9935229
1	0.0962791
0	0.99923754
0	0.7342589
0	0.81846243
1	0.97098184
1	0.01623287
1	0.008678004
